date,product,sold_units,current_stock
2025-09-05,Laptop,4,0
2025-09-05,Mouse,26,0
2025-09-05,Keyboard,4,0
2025-09-05,Monitor,24,0
2025-09-05,Headphones,27,0
2025-09-06,Laptop,29,0
2025-09-06,Mouse,3,0
2025-09-06,Keyboard,18,0
2025-09-06,Monitor,12,0
2025-09-06,Headphones,2,0
2025-09-07,Laptop,26,0
2025-09-07,Mouse,11,0
2025-09-07,Keyboard,27,0
2025-09-07,Monitor,24,0
2025-09-07,Headphones,23,0
2025-09-08,Laptop,15,0
2025-09-08,Mouse,10,0
2025-09-08,Keyboard,22,0
2025-09-08,Monitor,0,0
2025-09-08,Headphones,5,0
2025-09-09,Laptop,20,0
2025-09-09,Mouse,20,0
2025-09-09,Keyboard,17,0
2025-09-09,Monitor,28,0
2025-09-09,Headphones,18,0
2025-09-10,Laptop,5,0
2025-09-10,Mouse,13,0
2025-09-10,Keyboard,24,0
2025-09-10,Monitor,1,0
2025-09-10,Headphones,24,0
2025-09-11,Laptop,15,0
2025-09-11,Mouse,17,0
2025-09-11,Keyboard,13,0
2025-09-11,Monitor,23,0
2025-09-11,Headphones,14,0
2025-09-12,Laptop,0,0
2025-09-12,Mouse,22,0
2025-09-12,Keyboard,2,0
2025-09-12,Monitor,0,0
2025-09-12,Headphones,16,0
2025-09-13,Laptop,15,0
2025-09-13,Mouse,18,0
2025-09-13,Keyboard,3,0
2025-09-13,Monitor,19,0
2025-09-13,Headphones,21,0
2025-09-14,Laptop,18,0
2025-09-14,Mouse,6,0
2025-09-14,Keyboard,11,0
2025-09-14,Monitor,19,0
2025-09-14,Headphones,21,0
2025-09-15,Laptop,13,0
2025-09-15,Mouse,10,0
2025-09-15,Keyboard,25,0
2025-09-15,Monitor,28,0
2025-09-15,Headphones,9,0
2025-09-16,Laptop,22,0
2025-09-16,Mouse,6,0
2025-09-16,Keyboard,4,0
2025-09-16,Monitor,0,0
2025-09-16,Headphones,24,0
2025-09-17,Laptop,27,0
2025-09-17,Mouse,11,0
2025-09-17,Keyboard,19,0
2025-09-17,Monitor,4,0
2025-09-17,Headphones,11,0
2025-09-18,Laptop,19,0
2025-09-18,Mouse,7,0
2025-09-18,Keyboard,15,0
2025-09-18,Monitor,20,0
2025-09-18,Headphones,11,0
2025-09-19,Laptop,26,0
2025-09-19,Mouse,12,0
2025-09-19,Keyboard,1,0
2025-09-19,Monitor,8,0
2025-09-19,Headphones,12,0
2025-09-20,Laptop,8,0
2025-09-20,Mouse,10,0
2025-09-20,Keyboard,9,0
2025-09-20,Monitor,19,0
2025-09-20,Headphones,1,0
2025-09-21,Laptop,9,0
2025-09-21,Mouse,4,0
2025-09-21,Keyboard,4,0
2025-09-21,Monitor,1,0
2025-09-21,Headphones,0,0
2025-09-22,Laptop,9,0
2025-09-22,Mouse,8,0
2025-09-22,Keyboard,7,0
2025-09-22,Monitor,27,0
2025-09-22,Headphones,10,0
2025-09-23,Laptop,19,0
2025-09-23,Mouse,26,0
2025-09-23,Keyboard,25,0
2025-09-23,Monitor,17,0
2025-09-23,Headphones,3,0
2025-09-24,Laptop,0,0
2025-09-24,Mouse,20,0
2025-09-24,Keyboard,5,0
2025-09-24,Monitor,20,0
2025-09-24,Headphones,17,0
2025-09-25,Laptop,16,0
2025-09-25,Mouse,7,0
2025-09-25,Keyboard,29,0
2025-09-25,Monitor,12,0
2025-09-25,Headphones,20,0
2025-09-26,Laptop,18,0
2025-09-26,Mouse,1,0
2025-09-26,Keyboard,12,0
2025-09-26,Monitor,0,0
2025-09-26,Headphones,4,0
2025-09-27,Laptop,15,0
2025-09-27,Mouse,18,0
2025-09-27,Keyboard,14,0
2025-09-27,Monitor,16,0
2025-09-27,Headphones,15,0
2025-09-28,Laptop,13,0
2025-09-28,Mouse,23,0
2025-09-28,Keyboard,4,0
2025-09-28,Monitor,14,0
2025-09-28,Headphones,6,0
2025-09-29,Laptop,27,0
2025-09-29,Mouse,1,0
2025-09-29,Keyboard,3,0
2025-09-29,Monitor,24,0
2025-09-29,Headphones,24,0
2025-09-30,Laptop,25,0
2025-09-30,Mouse,2,0
2025-09-30,Keyboard,10,0
2025-09-30,Monitor,19,0
2025-09-30,Headphones,6,0
2025-10-01,Laptop,25,0
2025-10-01,Mouse,27,0
2025-10-01,Keyboard,12,0
2025-10-01,Monitor,19,0
2025-10-01,Headphones,2,0
2025-10-02,Laptop,3,0
2025-10-02,Mouse,19,0
2025-10-02,Keyboard,13,0
2025-10-02,Monitor,7,0
2025-10-02,Headphones,2,0
2025-10-03,Laptop,16,0
2025-10-03,Mouse,27,0
2025-10-03,Keyboard,26,0
2025-10-03,Monitor,9,0
2025-10-03,Headphones,9,0
2025-10-04,Laptop,27,0
2025-10-04,Mouse,7,0
2025-10-04,Keyboard,20,0
2025-10-04,Monitor,2,0
2025-10-04,Headphones,13,0
2025-10-05,Laptop,7,0
2025-10-05,Mouse,4,0
2025-10-05,Keyboard,12,0
2025-10-05,Monitor,16,0
2025-10-05,Headphones,15,0
2025-10-06,Laptop,11,0
2025-10-06,Mouse,1,0
2025-10-06,Keyboard,2,0
2025-10-06,Monitor,10,0
2025-10-06,Headphones,27,0
2025-10-07,Laptop,12,0
2025-10-07,Mouse,8,0
2025-10-07,Keyboard,15,0
2025-10-07,Monitor,13,0
